EngagementID,ContentID,ContentType,Views,Clicks,Likes,EngagementDate,CampaignID,ProductID
52,41,BLOG,1617,70,3,22-04-2025 00:00,3,15
53,41,VIDEO,599,39,2,20-09-2024 00:00,16,15
54,40,BLOG,706,34,0,22-09-2025 00:00,13,17
55,50,BLOG,2387,201,18,01-04-2025 00:00,18,6
56,24,SOCIAL MEDIA,922,39,1,19-12-2025 00:00,10,5
57,8,VIDEO,944,91,3,12-01-2025 00:00,7,20
58,2,VIDEO,578,11,0,07-11-2025 00:00,17,9
59,37,VIDEO,219,7,0,17-07-2025 00:00,10,1
60,1,SOCIAL MEDIA,404,15,0,15-10-2025 00:00,19,7
61,47,BLOG,2847,528,72,24-01-2024 00:00,16,7
62,15,SOCIAL MEDIA,1521,33,2,29-05-2025 00:00,18,10
64,49,VIDEO,111,3,0,03-12-2025 00:00,1,15
65,3,BLOG,524,94,30,05-10-2023 00:00,14,12
66,28,VIDEO,1493,141,23,12-09-2024 00:00,4,5
68,33,VIDEO,239,43,5,20-10-2024 00:00,3,19
69,50,BLOG,2935,303,68,11-05-2024 00:00,2,8
70,12,SOCIAL MEDIA,228,49,10,30-04-2024 00:00,12,11
71,37,VIDEO,4368,1156,459,04-03-2023 00:00,11,14
72,19,BLOG,6991,2499,657,06-01-2023 00:00,17,1
73,10,SOCIAL MEDIA,40,4,0,06-04-2025 00:00,18,3
75,11,VIDEO,565,137,12,01-05-2024 00:00,13,18
76,48,BLOG,6205,2834,545,11-03-2023 00:00,14,3
77,26,SOCIAL MEDIA,1671,482,143,27-08-2023 00:00,20,18
78,44,SOCIAL MEDIA,713,44,2,07-06-2025 00:00,17,2
79,36,VIDEO,3632,1500,397,26-04-2023 00:00,9,16
80,15,VIDEO,1535,243,8,04-01-2025 00:00,19,12
82,49,SOCIAL MEDIA,1354,425,142,26-04-2023 00:00,8,20
83,48,VIDEO,1933,158,14,20-02-2025 00:00,9,2
84,24,SOCIAL MEDIA,6319,832,116,22-05-2023 00:00,18,14
85,34,VIDEO,36,3,0,08-05-2025 00:00,18,20
86,37,BLOG,1576,45,5,06-04-2025 00:00,3,7
87,8,BLOG,3142,602,111,27-07-2024 00:00,2,2
88,28,SOCIAL MEDIA,1360,440,121,01-10-2023 00:00,12,7
89,21,SOCIAL MEDIA,214,15,1,27-11-2024 00:00,2,13
90,35,VIDEO,3338,1402,595,25-05-2023 00:00,7,9
91,8,BLOG,379,95,9,26-05-2024 00:00,7,13
92,35,VIDEO,516,49,3,21-05-2025 00:00,3,8
93,23,SOCIAL MEDIA,2989,1283,147,19-02-2023 00:00,1,17
94,33,VIDEO,2595,933,389,18-02-2023 00:00,15,17
96,17,BLOG,712,142,32,15-07-2024 00:00,14,13
97,34,BLOG,696,47,3,01-07-2025 00:00,16,7
98,44,BLOG,231,10,0,20-08-2025 00:00,11,8
99,26,BLOG,3511,479,119,15-04-2024 00:00,17,4
100,32,VIDEO,2657,175,34,05-05-2024 00:00,15,13
102,11,BLOG,7389,927,234,01-04-2023 00:00,7,7
104,25,SOCIAL MEDIA,5433,892,133,24-09-2023 00:00,11,12
105,10,BLOG,4327,1380,465,10-08-2023 00:00,16,11
106,13,SOCIAL MEDIA,7793,951,335,23-08-2023 00:00,17,11
107,20,BLOG,150,4,0,27-01-2025 00:00,6,12
108,48,BLOG,2826,264,56,26-10-2023 00:00,15,6
109,25,BLOG,1998,458,81,07-08-2024 00:00,20,4
110,12,SOCIAL MEDIA,1408,307,75,09-06-2024 00:00,3,4
111,34,BLOG,1942,99,10,18-05-2025 00:00,7,8
113,49,VIDEO,898,184,31,08-02-2023 00:00,17,14
114,32,SOCIAL MEDIA,314,12,0,30-06-2025 00:00,18,18
116,35,VIDEO,106,7,0,15-03-2025 00:00,1,19
117,23,SOCIAL MEDIA,924,32,0,24-09-2025 00:00,12,18
118,39,BLOG,191,3,0,04-12-2025 00:00,17,7
119,45,BLOG,3962,426,117,12-07-2023 00:00,11,15
120,33,VIDEO,1674,486,164,14-09-2023 00:00,1,7
121,5,VIDEO,8641,3301,1071,09-02-2023 00:00,17,7
122,13,VIDEO,5471,615,63,17-04-2024 00:00,6,12
123,15,BLOG,908,38,0,16-12-2025 00:00,7,8
124,39,BLOG,2847,274,32,16-11-2024 00:00,7,19
125,44,SOCIAL MEDIA,621,199,29,22-08-2023 00:00,12,20
126,34,BLOG,2086,218,19,27-04-2025 00:00,20,4
127,41,VIDEO,989,103,19,29-10-2023 00:00,6,6
129,7,BLOG,401,30,2,17-08-2024 00:00,5,1
130,5,SOCIAL MEDIA,2081,406,120,05-02-2024 00:00,11,1
132,2,SOCIAL MEDIA,2773,541,88,28-07-2023 00:00,19,8
133,44,VIDEO,415,34,2,18-04-2025 00:00,18,6
134,1,SOCIAL MEDIA,359,18,0,08-09-2025 00:00,11,14
135,21,SOCIAL MEDIA,2949,352,30,20-12-2024 00:00,18,16
136,30,BLOG,6423,2478,524,05-07-2023 00:00,16,8
137,3,BLOG,782,239,46,07-11-2023 00:00,9,9
138,19,VIDEO,2352,425,113,02-01-2024 00:00,15,17
139,48,SOCIAL MEDIA,1629,404,51,20-01-2024 00:00,11,12
140,11,VIDEO,7397,1971,394,08-03-2023 00:00,6,6
141,47,VIDEO,861,264,30,24-01-2024 00:00,13,16
142,35,VIDEO,261,5,0,05-11-2025 00:00,6,1
143,34,BLOG,3932,784,273,22-10-2023 00:00,8,1
144,27,SOCIAL MEDIA,689,44,3,07-02-2025 00:00,10,12
147,13,SOCIAL MEDIA,1219,74,5,19-04-2025 00:00,5,1
148,3,BLOG,3003,918,97,10-10-2023 00:00,17,16
149,26,SOCIAL MEDIA,6616,805,389,01-02-2023 00:00,7,4
150,45,SOCIAL MEDIA,4611,373,85,25-07-2024 00:00,6,13
151,30,BLOG,5131,1303,299,30-05-2024 00:00,1,12
153,41,BLOG,392,5,0,15-12-2025 00:00,6,16
155,3,BLOG,4350,269,33,03-05-2024 00:00,17,11
156,24,SOCIAL MEDIA,1657,164,26,18-01-2024 00:00,19,4
157,36,SOCIAL MEDIA,743,47,7,14-01-2025 00:00,10,3
159,29,SOCIAL MEDIA,361,64,9,04-10-2024 00:00,5,18
161,39,BLOG,4407,1105,180,19-04-2024 00:00,18,19
162,23,BLOG,1211,104,7,17-03-2025 00:00,17,14
163,9,VIDEO,4613,1553,233,08-01-2023 00:00,16,5
164,6,SOCIAL MEDIA,2995,432,32,07-09-2024 00:00,6,14
168,36,SOCIAL MEDIA,1969,201,21,14-05-2025 00:00,15,14
171,46,VIDEO,79,2,0,05-11-2025 00:00,1,19
172,26,SOCIAL MEDIA,801,97,15,13-12-2023 00:00,9,1
173,20,VIDEO,6025,2221,393,09-05-2023 00:00,17,3
174,16,SOCIAL MEDIA,5073,312,27,16-05-2024 00:00,3,18
175,4,VIDEO,3550,300,16,10-06-2024 00:00,15,16
176,9,SOCIAL MEDIA,1142,121,16,28-06-2023 00:00,5,4
177,2,BLOG,8103,1781,773,24-03-2023 00:00,5,7
179,25,VIDEO,1052,65,3,04-05-2025 00:00,19,19
180,39,BLOG,4079,473,113,18-01-2024 00:00,11,12
181,16,VIDEO,2963,199,12,02-02-2025 00:00,14,13
182,7,VIDEO,422,68,6,29-04-2024 00:00,20,12
183,50,BLOG,1395,87,5,25-01-2025 00:00,4,16
184,27,BLOG,168,6,0,31-08-2025 00:00,13,15
185,10,BLOG,2229,255,66,09-03-2024 00:00,9,2
187,45,BLOG,2478,717,197,29-03-2024 00:00,6,10
188,18,BLOG,2009,53,2,19-04-2025 00:00,20,7
189,50,BLOG,2523,840,266,14-10-2023 00:00,4,9
192,41,SOCIAL MEDIA,1556,312,54,24-09-2024 00:00,10,12
193,30,BLOG,3358,400,26,28-07-2024 00:00,9,2
194,34,SOCIAL MEDIA,5719,587,125,15-08-2023 00:00,15,10
195,13,SOCIAL MEDIA,76,7,1,07-06-2024 00:00,10,10
196,33,VIDEO,769,28,0,01-12-2025 00:00,13,4
197,20,VIDEO,5012,1452,172,31-12-2023 00:00,4,11
198,4,VIDEO,2336,1076,117,01-02-2023 00:00,8,12
199,6,SOCIAL MEDIA,1754,63,4,28-04-2025 00:00,1,5
201,14,BLOG,786,21,0,27-06-2025 00:00,1,5
202,9,VIDEO,680,27,1,20-04-2025 00:00,17,2
203,13,SOCIAL MEDIA,4496,1368,306,04-01-2023 00:00,1,18
206,14,BLOG,1992,109,7,06-04-2025 00:00,9,20
208,31,BLOG,131,32,2,24-04-2024 00:00,15,18
209,25,VIDEO,779,24,1,10-08-2025 00:00,3,7
210,8,SOCIAL MEDIA,2113,624,232,23-08-2023 00:00,13,12
211,15,SOCIAL MEDIA,632,17,0,24-06-2025 00:00,12,1
212,17,BLOG,379,20,3,06-12-2024 00:00,18,16
214,3,SOCIAL MEDIA,423,20,0,20-05-2025 00:00,16,1
215,17,BLOG,4381,303,21,13-12-2023 00:00,14,3
216,32,VIDEO,4938,1068,234,06-08-2023 00:00,4,17
217,10,VIDEO,6297,1624,279,30-01-2023 00:00,4,12
218,50,VIDEO,2280,480,80,18-09-2024 00:00,18,9
219,45,SOCIAL MEDIA,2900,1294,376,15-03-2023 00:00,5,20
222,12,BLOG,93,4,0,16-08-2025 00:00,17,8
223,17,SOCIAL MEDIA,1157,42,2,10-08-2025 00:00,3,4
224,11,BLOG,1625,62,4,18-06-2025 00:00,7,4
225,20,SOCIAL MEDIA,2610,245,71,29-05-2023 00:00,13,3
228,35,VIDEO,780,18,0,02-11-2025 00:00,2,19
229,18,VIDEO,2361,746,291,27-01-2023 00:00,17,12
232,38,VIDEO,4956,495,105,09-09-2023 00:00,8,8
233,30,SOCIAL MEDIA,1063,20,0,05-08-2025 00:00,1,11
234,23,BLOG,191,41,7,13-03-2024 00:00,11,7
238,42,BLOG,1426,167,14,19-11-2023 00:00,9,15
239,11,VIDEO,1445,83,10,24-09-2024 00:00,11,10
240,34,VIDEO,801,38,0,23-10-2025 00:00,20,1
241,4,VIDEO,2226,478,41,04-06-2023 00:00,17,6
242,38,VIDEO,2178,280,70,13-05-2023 00:00,17,19
245,39,VIDEO,9002,2059,339,15-02-2023 00:00,10,7
246,30,VIDEO,4556,1277,256,06-03-2024 00:00,20,5
247,40,BLOG,5576,860,193,01-02-2024 00:00,9,1
248,45,BLOG,680,24,1,23-04-2025 00:00,16,4
249,47,VIDEO,194,12,0,21-06-2025 00:00,10,11
250,9,VIDEO,3931,1744,708,01-03-2023 00:00,17,15
251,24,SOCIAL MEDIA,254,17,0,22-03-2025 00:00,2,10
252,29,SOCIAL MEDIA,456,8,0,16-11-2025 00:00,10,5
253,46,VIDEO,2279,972,363,11-04-2023 00:00,16,3
254,16,VIDEO,328,12,0,18-09-2025 00:00,1,6
256,16,BLOG,3106,290,29,04-01-2025 00:00,15,15
258,32,SOCIAL MEDIA,3715,1027,132,28-10-2023 00:00,7,3
260,7,VIDEO,1920,177,14,08-04-2025 00:00,15,13
261,36,VIDEO,852,79,12,05-01-2025 00:00,17,15
262,32,BLOG,171,6,0,07-07-2025 00:00,10,6
264,35,SOCIAL MEDIA,473,23,0,20-07-2025 00:00,16,10
265,10,SOCIAL MEDIA,164,64,5,24-07-2023 00:00,1,5
266,13,BLOG,553,16,0,19-03-2025 00:00,13,9
267,34,VIDEO,4348,376,42,18-11-2023 00:00,14,7
268,23,SOCIAL MEDIA,5367,1627,235,30-01-2023 00:00,3,12
269,43,SOCIAL MEDIA,6484,763,232,22-10-2023 00:00,3,16
271,28,SOCIAL MEDIA,774,27,0,12-11-2025 00:00,19,1
272,50,VIDEO,198,8,0,25-10-2025 00:00,8,15
273,10,BLOG,506,175,60,11-11-2023 00:00,9,19
274,20,VIDEO,5486,1725,820,14-02-2023 00:00,12,2
276,27,SOCIAL MEDIA,1079,73,13,10-10-2024 00:00,11,17
280,21,SOCIAL MEDIA,779,88,9,20-11-2024 00:00,18,11
281,34,SOCIAL MEDIA,115,5,0,06-04-2025 00:00,9,18
282,35,BLOG,998,72,1,19-06-2025 00:00,13,14
283,17,BLOG,961,29,1,26-05-2025 00:00,10,16
284,30,VIDEO,3654,231,41,01-11-2024 00:00,1,7
285,12,BLOG,2374,300,25,04-02-2025 00:00,10,15
286,2,VIDEO,745,78,6,08-03-2025 00:00,17,9
287,41,SOCIAL MEDIA,625,25,0,13-11-2025 00:00,2,17
288,21,SOCIAL MEDIA,7333,1200,255,02-07-2023 00:00,6,10
289,16,BLOG,2622,364,40,24-11-2024 00:00,6,2
290,20,SOCIAL MEDIA,6881,2028,521,25-09-2023 00:00,13,7
292,47,BLOG,6436,1497,259,11-07-2023 00:00,7,15
293,35,SOCIAL MEDIA,1712,395,91,04-07-2024 00:00,13,5
294,38,BLOG,7071,1859,523,31-10-2023 00:00,15,16
295,27,VIDEO,5666,1655,520,15-12-2023 00:00,1,17
296,37,SOCIAL MEDIA,3196,1111,169,15-02-2023 00:00,14,13
297,41,VIDEO,2929,410,69,16-10-2024 00:00,12,12
299,14,SOCIAL MEDIA,1026,320,48,22-06-2023 00:00,14,20
302,49,SOCIAL MEDIA,683,20,0,26-11-2025 00:00,9,20
303,32,BLOG,167,2,0,09-08-2025 00:00,17,1
304,43,BLOG,2308,261,18,18-04-2025 00:00,2,20
305,14,VIDEO,6103,790,152,11-07-2023 00:00,17,19
306,26,BLOG,48,2,0,27-10-2025 00:00,16,10
307,29,BLOG,1616,190,31,04-12-2024 00:00,10,11
308,40,VIDEO,1902,365,25,15-03-2024 00:00,17,13
311,33,VIDEO,6357,968,210,13-10-2023 00:00,11,13
314,27,VIDEO,694,81,10,29-09-2024 00:00,1,18
316,3,SOCIAL MEDIA,1508,196,27,11-11-2024 00:00,4,19
317,42,SOCIAL MEDIA,1974,785,94,16-07-2023 00:00,16,10
318,34,SOCIAL MEDIA,378,29,1,20-06-2025 00:00,12,20
320,12,VIDEO,440,85,5,19-09-2024 00:00,8,3
321,27,SOCIAL MEDIA,1057,58,5,21-06-2025 00:00,15,12
322,41,VIDEO,32,0,0,04-09-2025 00:00,15,4
325,35,BLOG,1092,56,7,27-01-2025 00:00,10,9
326,46,BLOG,3117,213,14,12-11-2024 00:00,1,9
327,27,BLOG,603,133,42,03-01-2024 00:00,20,14
328,26,SOCIAL MEDIA,2884,144,32,28-08-2024 00:00,11,10
329,18,VIDEO,3374,773,197,27-04-2024 00:00,3,19
331,28,SOCIAL MEDIA,499,28,3,25-04-2025 00:00,2,12
332,11,BLOG,2533,355,53,03-09-2023 00:00,1,11
333,50,VIDEO,5670,734,110,26-01-2023 00:00,4,6
335,19,BLOG,1084,118,11,17-12-2024 00:00,19,10
336,50,VIDEO,1619,249,41,02-10-2024 00:00,11,4
337,5,VIDEO,1915,382,75,05-05-2024 00:00,15,5
338,41,BLOG,2000,198,23,01-01-2025 00:00,5,1
340,6,SOCIAL MEDIA,5854,1604,455,25-03-2024 00:00,20,14
341,14,SOCIAL MEDIA,1679,174,7,06-01-2025 00:00,10,9
342,10,BLOG,2100,713,199,13-03-2023 00:00,4,6
343,36,VIDEO,79,19,4,19-05-2024 00:00,10,15
344,15,BLOG,347,16,0,04-11-2025 00:00,16,10
345,14,VIDEO,7762,2590,781,02-07-2023 00:00,19,13
346,1,SOCIAL MEDIA,1758,182,20,21-08-2024 00:00,2,20
347,21,VIDEO,2401,713,244,09-10-2023 00:00,5,15
349,21,SOCIAL MEDIA,4394,592,117,28-07-2024 00:00,19,6
351,24,BLOG,478,30,4,19-03-2024 00:00,18,12
353,28,BLOG,847,126,12,18-01-2025 00:00,11,9
354,27,BLOG,720,21,0,10-11-2025 00:00,7,18
355,38,VIDEO,3382,532,54,07-11-2024 00:00,6,2
356,23,BLOG,3688,808,94,21-01-2024 00:00,2,5
357,1,SOCIAL MEDIA,3251,157,31,11-10-2024 00:00,7,7
358,35,BLOG,74,2,0,10-03-2025 00:00,4,6
359,5,VIDEO,5643,1767,633,02-07-2023 00:00,6,20
361,35,VIDEO,1656,164,26,24-06-2023 00:00,15,13
362,12,SOCIAL MEDIA,7779,1000,355,10-05-2023 00:00,14,14
363,39,VIDEO,2018,441,97,17-04-2024 00:00,20,1
364,3,BLOG,7805,3328,1284,24-02-2023 00:00,6,20
365,15,BLOG,448,9,0,09-10-2025 00:00,14,17
366,33,SOCIAL MEDIA,2951,221,27,23-09-2024 00:00,5,13
367,17,SOCIAL MEDIA,75,1,0,20-10-2025 00:00,1,20
368,8,VIDEO,4897,982,185,16-04-2024 00:00,15,8
369,6,SOCIAL MEDIA,1289,449,180,20-02-2023 00:00,15,11
370,45,SOCIAL MEDIA,1918,118,13,12-08-2024 00:00,7,14
373,45,SOCIAL MEDIA,4519,1024,241,26-06-2024 00:00,3,17
374,24,BLOG,5248,1210,333,15-04-2024 00:00,10,15
375,44,BLOG,439,11,0,06-11-2025 00:00,7,9
376,37,BLOG,4372,899,100,23-08-2024 00:00,1,8
377,16,BLOG,148,16,1,30-03-2025 00:00,16,16
378,22,VIDEO,7680,2029,526,19-08-2023 00:00,14,18
379,19,VIDEO,1942,392,66,15-03-2024 00:00,10,18
380,41,SOCIAL MEDIA,273,33,3,20-01-2025 00:00,20,16
381,49,VIDEO,2509,181,10,28-02-2025 00:00,20,3
382,24,BLOG,286,95,30,04-05-2023 00:00,1,2
384,34,SOCIAL MEDIA,7361,2639,305,16-04-2023 00:00,10,8
385,34,SOCIAL MEDIA,2505,324,33,21-06-2024 00:00,5,8
386,22,BLOG,448,21,0,10-12-2025 00:00,16,18
387,38,SOCIAL MEDIA,2680,441,74,27-11-2024 00:00,6,8
388,31,SOCIAL MEDIA,5684,1754,533,09-01-2023 00:00,6,3
389,42,SOCIAL MEDIA,1548,309,46,24-05-2024 00:00,4,1
390,31,BLOG,5569,1596,526,11-09-2023 00:00,15,7
392,12,SOCIAL MEDIA,972,132,10,06-03-2025 00:00,16,6
393,38,SOCIAL MEDIA,1649,89,4,28-06-2025 00:00,5,4
394,19,VIDEO,1434,320,41,23-05-2023 00:00,8,17
395,26,VIDEO,4746,2012,681,09-02-2023 00:00,3,1
396,30,BLOG,1770,194,30,25-11-2024 00:00,14,14
398,27,BLOG,522,21,0,17-09-2025 00:00,12,20
400,37,BLOG,1815,324,34,30-08-2024 00:00,6,2
401,41,BLOG,1305,30,1,16-07-2025 00:00,12,17
402,2,VIDEO,9328,4574,950,04-01-2023 00:00,14,5
403,22,VIDEO,2059,119,18,18-08-2024 00:00,18,11
406,36,SOCIAL MEDIA,6347,741,137,09-09-2023 00:00,16,7
407,20,BLOG,318,6,0,04-09-2025 00:00,7,16
409,28,BLOG,412,37,4,25-02-2024 00:00,13,5
410,23,SOCIAL MEDIA,3711,543,105,08-09-2024 00:00,20,2
411,3,BLOG,5430,1637,503,13-01-2024 00:00,20,12
413,28,BLOG,2164,250,21,18-08-2024 00:00,5,8
414,28,SOCIAL MEDIA,4684,502,130,06-02-2024 00:00,9,3
415,35,BLOG,1922,94,6,30-05-2025 00:00,15,16
417,29,BLOG,3275,256,43,09-05-2024 00:00,6,2
418,35,VIDEO,846,28,1,02-09-2025 00:00,10,15
419,39,SOCIAL MEDIA,2803,978,409,28-02-2023 00:00,7,10
420,23,BLOG,4713,1086,188,30-10-2023 00:00,1,13
421,35,BLOG,557,36,1,31-07-2025 00:00,14,8
422,46,BLOG,1064,63,1,22-08-2025 00:00,15,8
423,10,BLOG,3504,1178,130,29-11-2023 00:00,16,6
424,47,VIDEO,101,1,0,20-11-2025 00:00,2,9
425,26,SOCIAL MEDIA,2097,102,17,05-11-2024 00:00,20,8
426,23,VIDEO,1186,225,34,15-09-2024 00:00,12,4
427,37,BLOG,235,16,0,16-07-2025 00:00,15,15
428,2,VIDEO,120,3,0,12-12-2025 00:00,12,17
429,22,VIDEO,4450,814,251,10-02-2024 00:00,13,13
430,44,VIDEO,677,9,0,23-11-2025 00:00,2,6
431,20,VIDEO,1044,14,0,21-08-2025 00:00,20,16
434,32,BLOG,112,3,0,16-06-2025 00:00,17,17
435,27,VIDEO,580,88,9,18-09-2024 00:00,19,6
437,43,BLOG,3986,307,71,07-03-2024 00:00,5,11
438,21,SOCIAL MEDIA,2678,661,186,18-01-2024 00:00,4,17
439,23,BLOG,3674,281,66,11-05-2024 00:00,13,14
440,9,BLOG,175,18,3,22-04-2024 00:00,5,20
441,6,SOCIAL MEDIA,5865,712,131,20-02-2024 00:00,5,18
443,5,SOCIAL MEDIA,3591,613,97,05-11-2024 00:00,8,12
444,47,BLOG,487,57,2,22-01-2025 00:00,8,20
447,25,SOCIAL MEDIA,877,21,0,09-12-2025 00:00,2,10
448,25,SOCIAL MEDIA,1705,130,4,17-06-2025 00:00,7,5
449,25,SOCIAL MEDIA,1147,209,61,27-10-2023 00:00,10,16
450,1,SOCIAL MEDIA,5462,1685,332,19-04-2023 00:00,20,15
451,48,SOCIAL MEDIA,624,131,15,18-08-2024 00:00,5,16
452,38,VIDEO,1853,259,15,03-01-2025 00:00,5,14
454,9,BLOG,1701,528,46,01-12-2023 00:00,4,8
455,39,VIDEO,58,4,0,15-04-2024 00:00,19,19
456,21,VIDEO,518,13,0,10-09-2025 00:00,8,14
457,36,SOCIAL MEDIA,3815,1077,67,17-04-2024 00:00,16,1
459,43,SOCIAL MEDIA,1186,129,9,08-12-2024 00:00,8,2
460,24,SOCIAL MEDIA,6974,1320,296,18-06-2023 00:00,18,18
465,25,BLOG,5626,497,134,28-06-2023 00:00,1,14
466,20,BLOG,3351,359,52,04-06-2024 00:00,7,8
467,7,SOCIAL MEDIA,4551,1228,208,09-06-2023 00:00,18,4
468,7,SOCIAL MEDIA,4974,408,92,09-09-2023 00:00,15,20
469,23,SOCIAL MEDIA,171,17,2,23-10-2024 00:00,9,4
470,14,BLOG,983,64,6,07-02-2025 00:00,4,1
471,2,VIDEO,2972,216,34,09-05-2024 00:00,4,5
473,46,SOCIAL MEDIA,2267,253,27,05-03-2025 00:00,3,14
476,11,BLOG,5021,1098,293,19-05-2024 00:00,10,7
478,43,SOCIAL MEDIA,3326,410,39,17-10-2024 00:00,8,13
479,31,SOCIAL MEDIA,2049,331,34,06-10-2024 00:00,17,19
480,21,SOCIAL MEDIA,2066,387,85,20-09-2023 00:00,15,2
481,27,BLOG,3561,1185,206,16-08-2023 00:00,15,10
482,44,SOCIAL MEDIA,1144,456,76,30-03-2023 00:00,7,14
484,30,SOCIAL MEDIA,4059,459,67,28-04-2024 00:00,1,7
485,35,VIDEO,1970,817,335,01-05-2023 00:00,18,20
486,17,VIDEO,2158,254,50,25-04-2024 00:00,10,13
487,21,VIDEO,2050,203,22,19-03-2025 00:00,1,7
488,36,BLOG,2132,373,80,06-01-2024 00:00,8,20
489,21,VIDEO,1407,66,2,31-03-2025 00:00,20,9
490,21,SOCIAL MEDIA,1409,103,9,19-11-2024 00:00,19,9
493,14,SOCIAL MEDIA,3071,537,74,29-08-2024 00:00,7,3
494,23,SOCIAL MEDIA,4224,509,53,13-05-2024 00:00,3,13
495,42,SOCIAL MEDIA,2656,799,84,19-11-2023 00:00,20,17
497,46,BLOG,998,11,0,25-11-2025 00:00,16,7
498,2,SOCIAL MEDIA,1734,452,125,06-04-2024 00:00,4,18
499,10,VIDEO,2575,97,9,28-01-2025 00:00,12,11
500,48,SOCIAL MEDIA,3819,958,194,25-01-2023 00:00,18,13
501,7,BLOG,2595,108,4,10-02-2025 00:00,3,2
503,39,SOCIAL MEDIA,1951,574,202,24-09-2023 00:00,4,18
504,45,BLOG,2577,420,58,29-10-2024 00:00,17,11
505,24,SOCIAL MEDIA,121,37,9,16-12-2023 00:00,5,19
506,24,BLOG,763,46,1,08-03-2025 00:00,17,2
507,15,BLOG,2226,575,159,08-03-2023 00:00,8,13
508,50,VIDEO,5316,836,213,03-02-2024 00:00,7,13
509,40,SOCIAL MEDIA,508,147,34,13-08-2023 00:00,14,6
510,40,BLOG,2088,132,11,26-01-2025 00:00,1,13
511,26,SOCIAL MEDIA,2552,770,220,25-09-2023 00:00,16,16
512,1,VIDEO,2172,147,33,29-07-2024 00:00,8,14
513,8,BLOG,2506,408,87,28-02-2024 00:00,18,9
516,7,BLOG,4421,503,123,11-03-2023 00:00,4,16
517,35,VIDEO,2778,263,35,30-10-2024 00:00,18,20
519,50,VIDEO,1113,172,39,10-09-2023 00:00,18,15
520,16,SOCIAL MEDIA,7251,3048,1405,08-01-2023 00:00,9,4
522,49,SOCIAL MEDIA,807,33,0,25-08-2025 00:00,18,16
523,23,BLOG,6420,1094,188,11-08-2023 00:00,7,1
524,36,VIDEO,1089,167,37,01-07-2024 00:00,4,14
525,15,SOCIAL MEDIA,99,2,0,18-10-2025 00:00,10,7
526,43,SOCIAL MEDIA,6457,2136,440,30-12-2023 00:00,19,5
527,2,SOCIAL MEDIA,18,0,0,23-09-2025 00:00,15,13
528,1,SOCIAL MEDIA,335,8,0,27-07-2025 00:00,19,4
529,40,SOCIAL MEDIA,3633,668,147,27-01-2024 00:00,18,3
531,21,BLOG,4245,235,28,27-05-2024 00:00,15,12
532,44,VIDEO,498,20,0,28-12-2025 00:00,15,13
534,30,BLOG,931,158,21,17-09-2024 00:00,2,3
